URN,EstablishmentName,TelephoneNum,HeadFirstName,HeadLastName,type,group,OpenDate,phase,gender,NumberOfPupils,PercentageFSM,trusts,Ofsted,Town,Postcode,region,phase2,region2,numpupils_quintile,fsm_quintile,All
144201,Burford CofE Primary School,01584810244,Emma,Winters,Academy converter,Academies,01-04-2017,Primary,Mixed,,,THE BISHOP ANTHONY EDUCATIONAL TRUST,,Tenbury Wells,WR15 8AT,West Midlands,Primary,Non-London,1,1,All
145364,Nelson Primary School,02084720642,Fiona,Cullen,Academy converter,Academies,01-03-2018,Primary,Mixed,,,NEW VISION TRUST,,London,E6 2SE,London,Primary,London,1,1,All
145452,College Park Infant School,02392662823,Debra,Anderson,Academy converter,Academies,01-02-2018,Primary,Mixed,,,KING'S GROUP ACADEMIES,,Portsmouth,PO2 0LB,South East,Primary,Non-London,1,1,All
145350,Beechfield School,01923221269,James,Roach,Academy converter,Academies,01-03-2018,Primary,Mixed,,,INCLUSIVE MULTI ACADEMY TRUST,,Watford,WD24 5TY,East of England,Primary,Non-London,1,1,All
111712,"St Mary's Church of England Aided Primary School, Long Newton",01642581716,David,Moorfoot,Voluntary aided school,LA maintained schools,,Primary,Mixed,101,0,,Good,Stockton-on-Tees,TS21 1DL,North East,Primary,Non-London,1,1,All
144928,Worle Village Primary School,01934512200,Susan,Elliott,Academy converter,Academies,01-09-2017,Primary,Mixed,,,KALEIDOSCOPE MULTI ACADEMY TRUST,,Weston-super-Mare,BS22 9EJ,South West,Primary,Non-London,1,1,All
144905,Warren Dell Primary School,02084284571,Jenny,Morley,Academy converter,Academies,01-09-2017,Primary,Mixed,,,HERTS FOR LEARNING MULTI ACADEMY TRUST,,Watford,WD19 7UZ,East of England,Primary,Non-London,1,1,All
120912,Woodland View Junior School,01603898292,Mike,Collins,Community school,LA maintained schools,,Primary,Mixed,149,3.4,,Good,Norwich,NR10 3PY,East of England,Primary,Non-London,1,3,All
146133,Saint Peters Catholic Voluntary Academy,01455843840,Helen,White,Academy converter,Academies,01-09-2018,Primary,Mixed,,,ST THOMAS AQUINAS CATHOLIC MULTI ACADEMY TRUST,Good,,LE9 7AW,East Midlands,Primary,Non-London,1,1,All
110781,Barrington CofE VC Primary School,01223712273,Gill,Davies,Voluntary controlled school,LA maintained schools,,Primary,Mixed,110,9.1,,Good,Cambridge,CB22 7RG,East of England,Primary,Non-London,1,5,All
117397,Hertford St Andrew CofE Primary School,01992583105,Lyn,Stark,Voluntary controlled school,LA maintained schools,,Primary,Mixed,121,30.4,,Good,Hertford,SG14 2EP,East of England,Primary,Non-London,1,4,All
145319,Wildmoor Heath School,01344772034,Leslie,Semper,Academy converter,Academies,01-01-2018,Primary,Mixed,,,GREENSHAW LEARNING TRUST,,Bracknell,RG45 7HD,South East,Primary,Non-London,1,1,All
116283,Durley Church of England Controlled Primary School,01489860207,Kirstie,Baines,Voluntary controlled school,LA maintained schools,,Primary,Mixed,123,0,,Good,Southampton,SO32 2AR,South East,Primary,Non-London,1,1,All
144697,Merstham Primary School,01737643978,Gavin,Oulton,Academy converter,Academies,01-05-2018,Primary,Mixed,,,GLF SCHOOLS,,Redhill,RH1 3AZ,South East,Primary,Non-London,1,1,All
111871,St Erme with Trispen Community Primary School,01872279539,Julie,Orrell,Community school,LA maintained schools,,Primary,Mixed,127,9.4,,Good,Truro,TR4 9BJ,South West,Primary,Non-London,1,5,All
143976,Glebelands Primary Academy,01354695915,Lisa,Sharratt,Academy converter,Academies,01-02-2017,Primary,Mixed,,,THE DIAMOND LEARNING PARTNERSHIP TRUST,,Chatteris,PE16 6EZ,East of England,Primary,Non-London,1,1,All
139561,Hope Community School,02032232000,Barbara,O'hara,Free schools,Free Schools,01-09-2013,Primary,Mixed,118,15.3,NEW GENERATION SCHOOLS TRUST,Good,Sidcup,DA14 5BU,London,Primary,London,1,2,All
145180,Clayton St John CofE Primary School,01274815862,Michelle,Hargreaves,Academy sponsor led,Academies,01-10-2017,Primary,Mixed,,,BRADFORD DIOCESAN ACADEMIES TRUST,,Bradford,BD14 6DD,Yorkshire and the Humber,Primary,Non-London,1,1,All
115545,Tibberton Community Primary School,01452790469,Amanda,Horniman,Community school,LA maintained schools,,Primary,Mixed,101,5,,Good,Gloucester,GL19 3AQ,South West,Primary,Non-London,1,4,All
121147,Alpington and Bergh Apton Church of England Voluntary Aided Primary School,01508492700,Teresa,Osborne,Voluntary aided school,LA maintained schools,,Primary,Mixed,123,4.1,,Outstanding,Norwich,NR14 7NH,East of England,Primary,Non-London,1,4,All
119932,Kegworth Primary School,01509672382,Tracey,Robinson,Community school,LA maintained schools,,Primary,Mixed,166,1.8,,Good,Derby,DE74 2DA,East Midlands,Primary,Non-London,1,1,All
121343,Wavell Community Junior School,01748832298,Gillian,Crouch,Community school,LA maintained schools,,Primary,Mixed,200,2.5,,Requires improvement,Catterick Garrison,DL9 3BJ,Yorkshire and the Humber,Primary,Non-London,2,3,All
107199,Clayton Village Primary School,01274414115,Rebecca,Cradock,Community school,LA maintained schools,,Primary,Mixed,206,19.4,,Good,Bradford,BD14 6AD,Yorkshire and the Humber,Primary,Non-London,2,2,All
142553,Perranporth Community Primary School,01872572021,Alistair,Johnson,Academy converter,Academies,01-01-2016,Primary,Mixed,203,4.4,TRURO & PENWITH ACADEMY TRUST,,Perranporth,TR6 0EU,South West,Primary,Non-London,2,4,All
143810,Middlestown Primary Academy,01924278290,Julie Karen,Tomlinson,Academy converter,Academies,01-12-2016,Primary,Mixed,212,5.8,ACCORD MULTI ACADEMY TRUST,,Wakefield,WF4 4QE,Yorkshire and the Humber,Primary,Non-London,2,5,All
110817,Holywell CofE Primary School,01480462007,Claire,Macdonald,Voluntary controlled school,LA maintained schools,,Primary,Mixed,197,2,,Outstanding,St Ives,PE27 4TF,East of England,Primary,Non-London,2,3,All
107541,Luddenden CofE School,01422886353,Lisa,Hoyle,Voluntary controlled school,LA maintained schools,,Primary,Mixed,205,17.3,,Requires improvement,Halifax,HX2 6PB,Yorkshire and the Humber,Primary,Non-London,2,2,All
141469,The Grove Primary School,01664562554,Steve,Nash,Academy converter,Academies,01-10-2014,Primary,Mixed,203,33.5,MOWBRAY EDUCATION TRUST LIMITED,Special Measures,Melton Mowbray,LE13 0HN,East Midlands,Primary,Non-London,2,4,All
126479,Frogwell Primary School,01249652815,Paul,Bacon,Foundation school,LA maintained schools,,Primary,Mixed,180,17.8,,Good,Chippenham,SN14 0DG,South West,Primary,Non-London,2,2,All
107325,St Clare's Catholic Primary School,01274637841,Carmel,Utting,Voluntary aided school,LA maintained schools,,Primary,Mixed,196,23.5,,Good,Bradford,BD2 3JD,Yorkshire and the Humber,Primary,Non-London,2,3,All
119670,"Sacred Heart Catholic Primary School, Chorley",01257262659,B,Broderick,Voluntary aided school,LA maintained schools,,Primary,Mixed,212,12.5,,Good,Chorley,PR6 0LB,North West,Primary,Non-London,2,2,All
114424,Wivelsfield Primary School,01444471393,Helen,Smith,Community school,LA maintained schools,,Primary,Mixed,175,6.9,,Good,Wivelsfield Green,RH17 7QN,South East,Primary,Non-London,2,5,All
110283,Carrington Infant School,01628523356,Rebecca,Morrisson,Community school,LA maintained schools,,Primary,Mixed,187,8,,Good,High Wycombe,HP10 9AA,South East,Primary,Non-London,2,5,All
110671,The Icknield Primary School,01223508750,Anneka,Stockdale,Foundation school,LA maintained schools,,Primary,Mixed,189,9.5,The Henry Morris Community Trust,Good,Cambridge,CB22 3EA,East of England,Primary,Non-London,2,5,All
111103,Sutton Green Primary School,01513382121,Daniel,Armer,Community school,LA maintained schools,,Primary,Mixed,225,14.7,,Good,Ellesmere Port,CH66 4NW,North West,Primary,Non-London,2,2,All
105038,Heswall Primary School,01513427491,Jonathan,Lawrenson,Community school,LA maintained schools,,Primary,Mixed,218,10.6,,Good,Wirral,CH60 7SD,North West,Primary,Non-London,2,1,All
112694,Elmsleigh Infant and Nursery School,01283216883,Karen,Burton,Community school,LA maintained schools,,Primary,Mixed,214,31,,Outstanding,Swadlincote,DE11 0EG,East Midlands,Primary,Non-London,2,4,All
108700,Lord Blyton Primary School,01914240550,Joanne,Atherton,Community school,LA maintained schools,,Primary,Mixed,211,22.7,,Good,South Shields,NE34 9BN,North East,Primary,Non-London,2,3,All
118484,Brookfield Infant School,01732840955,P,Woods,Community school,LA maintained schools,,Primary,Mixed,179,17.9,,Outstanding,Aylesford,ME20 6PY,South East,Primary,Non-London,2,2,All
106465,St Thomas CofE Primary School,01942201107,J,Jones,Voluntary aided school,LA maintained schools,,Primary,Mixed,214,5.1,,Good,Wigan,WN4 8PQ,North West,Primary,Non-London,2,4,All
138074,St James the Great Academy,01732841912,Tamasin,Springett,Academy sponsor led,Academies,01-04-2012,Primary,Mixed,213,34.5,ACADEMIES ENTERPRISE TRUST,Good,East Malling,ME19 6SD,South East,Primary,Non-London,2,4,All
138180,Hurworth Primary School,01325720028,Nicholas,Blackburn,Academy converter,Academies,01-06-2012,Primary,Mixed,215,3.7,LINGFIELD EDUCATION TRUST,Good,Darlington,DL2 2ET,North East,Primary,Non-London,2,4,All
121018,Chapel Break Infant School,01603749550,Sara,Johnston,Community school,LA maintained schools,,Primary,Mixed,171,11.1,,Outstanding,Norwich,NR5 9LU,East of England,Primary,Non-London,2,1,All
111998,"St Mary's CofE Primary School, Penzance",01736363009,Hilary,Tyreman,Voluntary aided school,LA maintained schools,,Primary,Mixed,174,11.5,,Good,Penzance,TR18 4HP,South West,Primary,Non-London,2,2,All
114246,"St Patrick's Roman Catholic Voluntary Aided Primary School, Dipton",01207570316,Jill,Burgess,Voluntary aided school,LA maintained schools,,Primary,Mixed,167,7.2,,Good,Stanley,DH9 9BB,North East,Primary,Non-London,2,5,All
104922,St Nicholas Church of England Primary School,01519241204,Rebecca,Woods,Voluntary aided school,LA maintained schools,,Primary,Mixed,211,7.6,,Outstanding,Liverpool,L23 6TS,North West,Primary,Non-London,2,5,All
104095,Lady Katherine Leveson Church of England Primary School,01564772374,Simon,Russell,Voluntary aided school,LA maintained schools,,Primary,Mixed,199,20.7,,Good,Solihull,B93 0AN,West Midlands,Primary,Non-London,2,3,All
121857,"Alfred Street Junior School, Rushden",01933353762,Kelly,O'Connor,Community school,LA maintained schools,,Primary,Mixed,200,21,,Requires improvement,Rushden,NN10 9YS,East Midlands,Primary,Non-London,2,3,All
121423,Whitley and Eggborough Community Primary School,01977661247,Sarah,Langridge,Community school,LA maintained schools,,Primary,Mixed,222,8.1,,Good,Goole,DN14 0WE,Yorkshire and the Humber,Primary,Non-London,2,5,All
124158,Heathfields Infant School,01827213885,Kelly,Williams,Foundation school,LA maintained schools,,Primary,Mixed,214,6.5,Tame Valley Co-Operative Learning Trust,Good,Tamworth,B77 5LU,West Midlands,Primary,Non-London,2,5,All
122577,Larkfields Infant School,01159137730,Joanne,Cuthbert,Community school,LA maintained schools,,Primary,Mixed,181,5,,Good,Nottingham,NG16 1EP,East Midlands,Primary,Non-London,2,4,All
119181,Worsthorne Primary School,01282425690,Louise,Young,Community school,LA maintained schools,,Primary,Mixed,212,3.8,,Good,Burnley,BB10 3LR,North West,Primary,Non-London,2,4,All
141614,Boughton Heath Academy,01244981010,Steven,Ellis,Academy converter,Academies,01-01-2015,Primary,Mixed,208,1,CHESHIRE ACADEMIES TRUST,,Chester,CH3 5RW,North West,Primary,Non-London,2,1,All
104929,Our Lady Star of the Sea Catholic Primary School,01519283158,Joan,Jenkins,Voluntary aided school,LA maintained schools,,Primary,Mixed,182,52.7,,Good,Seaforth,L21 3TE,North West,Primary,Non-London,2,5,All
106084,Whitehill Primary School,01614802142,Steven,Hall,Community school,LA maintained schools,,Primary,Mixed,186,32,,Requires improvement,Stockport,SK4 1PB,North West,Primary,Non-London,2,4,All
107038,Halfway Nursery Infant School,01142482360,Paula,Bestall,Community school,LA maintained schools,,Primary,Mixed,217,10.6,,Good,Sheffield,S20 3GU,Yorkshire and the Humber,Primary,Non-London,2,1,All
140208,Harris Primary Academy Haling Park,02037724560,Tracey,Jarrett,Academy sponsor led,Academies,01-09-2014,Primary,Mixed,175,19.4,HARRIS FEDERATION,Outstanding,Croydon,CR2 6HS,London,Primary,London,2,2,All
114211,Durham Gilesgate Primary School,01913847284,M,Turner,Community school,LA maintained schools,,Primary,Mixed,214,36.1,,Requires improvement,Durham,DH1 1PH,North East,Primary,Non-London,2,4,All
108255,Wakefield St Johns Church of England Voluntary Aided Junior and Infant School,01924369136,Helen,Findlay,Voluntary aided school,LA maintained schools,,Primary,Mixed,208,11.1,,Good,Wakefield,WF1 3JP,Yorkshire and the Humber,Primary,Non-London,2,1,All
120924,Nightingale Infant and Nursery School,01603867976,Michelle,Slymn,Community school,LA maintained schools,,Primary,Mixed,178,6.2,,Serious Weaknesses,Norwich,NR8 6LA,East of England,Primary,Non-London,2,5,All
123717,Cheddar First School,01934742546,Margaret,Wookey,Community school,LA maintained schools,,Primary,Mixed,289,6.2,,Good,Cheddar,BS27 3HN,South West,Primary,Non-London,3,5,All
120505,Cherry Willingham Primary School,01522751148,K,Evans,Community school,LA maintained schools,,Primary,Mixed,271,10,,Requires improvement,Lincoln,LN3 4BD,East Midlands,Primary,Non-London,3,1,All
125186,Busbridge CofE Aided Junior School,01483417302,Richard,Catchpole,Voluntary aided school,LA maintained schools,,Primary,Mixed,240,5.4,,Good,Godalming,GU7 1XA,South East,Primary,Non-London,3,4,All
118329,Balfour Infant School,01634338280,Donna,Atkinson,Community school,LA maintained schools,,Primary,Mixed,268,6.7,,Good,Rochester,ME1 2QT,South East,Primary,Non-London,3,5,All
114033,Stanley Burnside Primary School,01207234020,L,Armstrong,Community school,LA maintained schools,,Primary,Mixed,232,36.4,,Good,Stanley,DH9 6QP,North East,Primary,Non-London,3,4,All
110450,St Peter's Church of England Primary School,01628602295,Lesley,Blount,Voluntary aided school,LA maintained schools,,Primary,Mixed,274,11.1,,Good,Burnham,SL1 7DE,South East,Primary,Non-London,3,1,All
125044,Godalming Junior School,01483421597,Adam,Samson,Community school,LA maintained schools,,Primary,Mixed,231,6.1,,Good,Godalming,GU7 3HW,South East,Primary,Non-London,3,5,All
100733,St Saviour's Catholic Primary School,02088524283,Dean,Houson,Voluntary aided school,LA maintained schools,,Primary,Mixed,236,14.6,,Good,London,SE13 6AL,London,Primary,London,3,2,All
106216,Holden Clough Community Primary School,01613305248,Faik,Kordemir,Community school,LA maintained schools,,Primary,Mixed,325,11.7,,Good,Ashton-under-Lyne,OL6 8XN,North West,Primary,Non-London,3,2,All
114951,Howbridge Infant School,01376512153,Anna,Conley,Foundation school,LA maintained schools,,Primary,Mixed,262,14.5,,Good,Witham,CM8 1DJ,East of England,Primary,Non-London,3,2,All
117465,St Joseph Catholic Primary School,02084285371,Linda,Payne,Voluntary aided school,LA maintained schools,,Primary,Mixed,235,8.3,,Outstanding,Watford,WD19 7DW,East of England,Primary,Non-London,3,5,All
108719,St Aloysius' RC Voluntary Aided Junior School,01914832274,N,Conway,Voluntary aided school,LA maintained schools,,Primary,Mixed,243,10.7,,Outstanding,Hebburn,NE31 1BQ,North East,Primary,Non-London,3,1,All
140312,Glasshoughton Infant Academy,01977516343,A,Walker,Academy converter,Academies,01-11-2013,Primary,Mixed,243,7.3,CASTLEFORD ACADEMY TRUST,,Castleford,WF10 4BH,Yorkshire and the Humber,Primary,Non-London,3,5,All
112256,Lees Hill CofE School,0169772577,Julia,Dalgleish,Voluntary controlled school,LA maintained schools,,Primary,Mixed,29,0,,Good,Brampton,CA8 2BB,North West,Primary,Non-London,3,1,All
108621,St Stephens Roman Catholic Primary School Aided,01916432910,Stephen,Fallon,Voluntary aided school,LA maintained schools,,Primary,Mixed,244,17.8,,Good,Newcastle-upon-Tyne,NE12 8FA,North East,Primary,Non-London,3,2,All
142014,Silkmore Primary Academy,01785356105,Sarah,Mills,Academy sponsor led,Academies,01-07-2015,Primary,Mixed,227,46.2,REACH2 ACADEMY TRUST,Outstanding,Stafford,ST17 4EG,West Midlands,Primary,Non-London,3,4,All
110719,Dogsthorpe Infant School,01733566849,Rebecca,Waters,Community school,LA maintained schools,,Primary,Mixed,270,17.1,,Good,Peterborough,PE1 4LH,East of England,Primary,Non-London,3,2,All
113382,Parracombe Church of England Primary School,01598763338,Jayne,Peacock,Voluntary controlled school,LA maintained schools,,Primary,Mixed,26,30.8,,Good,Barnstaple,EX31 4QJ,South West,Primary,Non-London,3,4,All
105951,St Teresa's RC Primary School,01617778203,Sandra,Burgess,Voluntary aided school,LA maintained schools,,Primary,Mixed,252,6.3,,Good,Manchester,M44 5LH,North West,Primary,Non-London,3,5,All
131072,Riverview CofE Primary and Nursery School VA,02083371245,Mercy,Atkins,Voluntary aided school,LA maintained schools,01-09-1995,Primary,Mixed,233,23.5,,Good,Epsom,KT19 0JP,South East,Primary,Non-London,3,3,All
110973,Meadowside Community Primary and Nursery School,01925632705,Stuart,Wright,Community school,LA maintained schools,,Primary,Mixed,277,31.5,,Good,Warrington,WA2 9PH,North West,Primary,Non-London,3,4,All
103289,Bellfield Infant School (NC),01214644855,Gill,Simm,Community school,LA maintained schools,,Primary,Mixed,283,37.8,,Requires improvement,Birmingham,B31 1PT,West Midlands,Primary,Non-London,3,4,All
139863,Lound Junior School,01142462181,Emma,Bellamy,Academy converter,Academies,01-07-2013,Primary,Mixed,241,8.3,LOUND ACADEMY TRUST,Good,Sheffield,S35 2UT,Yorkshire and the Humber,Primary,Non-London,3,5,All
140819,Stalham Academy,01692580053,Glenn,Russell,Academy sponsor led,Academies,01-05-2014,Primary,Mixed,235,11.5,RIGHTFORSUCCESS TRUST,Good,Norwich,NR12 9PS,East of England,Primary,Non-London,3,2,All
126248,Kiwi Primary School,01980632364,S,Raeburn,Community school,LA maintained schools,,Primary,Mixed,273,0.4,,Good,Salisbury,SP4 9JY,South West,Primary,Non-London,3,1,All
107655,Holmfirth Junior Infant and Nursery School,01484687565,Julian,Rose,Community school,LA maintained schools,,Primary,Mixed,240,7.4,,Good,Holmfirth,HD9 2RG,Yorkshire and the Humber,Primary,Non-London,3,5,All
108249,Featherstone Purston St Thomas Church of England Voluntary Controlled Junior School,01977706063,Debra,Randall,Voluntary controlled school,LA maintained schools,,Primary,Mixed,256,28.5,,Good,Pontefract,WF7 5BG,Yorkshire and the Humber,Primary,Non-London,3,3,All
110658,Newnham Croft Primary School,01223508737,S,Williams,Community school,LA maintained schools,,Primary,Mixed,237,3,,Good,Cambridge,CB3 9JF,East of England,Primary,Non-London,3,3,All
104153,Elmore Green Primary School,01922710162,J,Humphreys,Community school,LA maintained schools,,Primary,Mixed,317,19.2,,Outstanding,Walsall,WS3 2HW,West Midlands,Primary,Non-London,3,2,All
131848,St Paul's CofE Primary School,01616249019,Hilary,Henderson,Voluntary aided school,LA maintained schools,01-01-1998,Primary,Mixed,232,11.1,,Requires improvement,Oldham,OL2 5LU,North West,Primary,Non-London,3,1,All
105149,Brownlow Fold Primary School,01204333511,Julie,Hignett,Community school,LA maintained schools,,Primary,Mixed,279,14.4,,Good,Bolton,BL1 3DX,North West,Primary,Non-London,3,2,All
138523,St Bede's RC Primary School,01325466411,Doreen,King,Academy converter,Academies,01-08-2012,Primary,Mixed,286,6.6,CARMEL EDUCATION TRUST,Good,Darlington,DL1 3ES,North East,Primary,Non-London,3,5,All
105808,St Gabriel's Church of England Primary School,01616539587,Karen,Race,Voluntary controlled school,LA maintained schools,,Primary,Mixed,236,18.2,,Good,Manchester,M24 2BE,North West,Primary,Non-London,3,2,All
131036,Albany Village Primary School,01914155700,Christine,Brown,Community school,LA maintained schools,01-09-1996,Primary,Mixed,239,35.3,,Good,Washington,NE37 1UA,North East,Primary,Non-London,3,4,All
113278,Laira Green Primary School,01752660427,Bernadette,Kennedy,Community school,LA maintained schools,,Primary,Mixed,284,33.5,,Good,Plymouth,PL3 6BP,South West,Primary,Non-London,3,4,All
141273,Haydon Wick Primary School,01793706606,Aine,Gale,Academy converter,Academies,01-09-2014,Primary,Mixed,275,7.3,THE WHITE HORSE FEDERATION,,Swindon,SN25 1HT,South West,Primary,Non-London,3,5,All
110687,Priory Park Infant School & Playgroup,01480398010,A,Smith,Community school,LA maintained schools,,Primary,Mixed,244,10.7,,Good,St Neots,PE19 1DZ,East of England,Primary,Non-London,3,1,All
104819,St Julie's Catholic Primary School,01744678233,A M,Hodgson,Voluntary aided school,LA maintained schools,,Primary,Mixed,241,1.2,,Outstanding,St Helens,WA10 5HG,North West,Primary,Non-London,3,1,All
114989,Great Bradfords Infant and Nursery School,01376326891,Anita,Easton,Community school,LA maintained schools,,Primary,Mixed,320,16.6,,Good,Braintree,CM7 9LW,East of England,Primary,Non-London,3,2,All
102420,Dr Triplett's CofE Primary School,02085731617,Rachel,Anderson,Voluntary aided school,LA maintained schools,,Primary,Mixed,457,8.2,,Good,Hayes,UB3 2JQ,London,Primary,London,4,5,All
116297,St John the Baptist Church of England Primary School,01489573276,Elaine,Merriman,Voluntary controlled school,LA maintained schools,,Primary,Mixed,381,9.7,,Good,Fareham,PO14 4NH,South East,Primary,Non-London,4,5,All
138278,Oasis Academy Connaught,01275894590,George,Franks,Academy sponsor led,Academies,01-09-2012,Primary,Mixed,342,54.9,OASIS COMMUNITY LEARNING,Requires improvement,Bristol,BS4 1NH,South West,Primary,Non-London,4,5,All
102884,Darell Primary and Nursery School,02088766721,Karen,Bos,Community school,LA maintained schools,,Primary,Mixed,347,13.8,,Good,Richmond,TW9 4LH,London,Primary,London,4,2,All
140767,"St Joseph's Catholic Primary School, Poole",01202741932,Neil,McDermott,Academy converter,Academies,01-04-2014,Primary,Mixed,385,12.7,PLYMOUTH CAST,Good,Poole,BH12 4DZ,South West,Primary,Non-London,4,2,All
141375,Dixons Manningham Academy,01274731695,Terri,Leighton,Academy sponsor led,Academies,01-01-2015,Primary,Mixed,415,26.6,DIXONS ACADEMIES CHARITABLE TRUST LTD,Good,Bradford,BD8 8HY,Yorkshire and the Humber,Primary,Non-London,4,3,All
123764,Greenfylde Church of England First School,0146052686,Claire,Oaten,Voluntary controlled school,LA maintained schools,,Primary,Mixed,362,8,,Outstanding,Ilminster,TA19 0DS,South West,Primary,Non-London,4,5,All
102730,Maryland Primary School,02085348135,Lorna,Jackson,Community school,LA maintained schools,,Primary,Mixed,458,15.9,,Good,London,E15 1SL,London,Primary,London,4,2,All
132197,Bantock Primary School,01902558710,H,Sarai,Community school,LA maintained schools,01-09-2000,Primary,Mixed,398,27.5,,Good,Wolverhampton,WV3 0HY,West Midlands,Primary,Non-London,4,3,All
143216,Benhurst Primary School,01708450807,David,Denchfield,Academy converter,Academies,01-10-2016,Primary,Mixed,412,10.2,LIFE EDUCATION TRUST,,Hornchurch,RM12 4QS,London,Primary,London,4,1,All
138560,Pennyman Primary Academy,01642314750,Katrina,Morley,Academy converter,Academies,01-09-2012,Primary,Mixed,426,31.9,TEES VALLEY EDUCATION,Good,Middlesbrough,TS3 0QS,North East,Primary,Non-London,4,4,All
103341,Boldmere Junior School,01214643656,Carl,Glasgow,Community school,LA maintained schools,,Primary,Mixed,360,5.3,,Outstanding,Sutton Coldfield,B73 5SD,West Midlands,Primary,Non-London,4,4,All
109844,Birch Copse Primary School,01189427442,J,Micklewhite,Community school,LA maintained schools,,Primary,Mixed,424,1.7,,Outstanding,Reading,RG31 5LN,South East,Primary,Non-London,4,1,All
107337,Baildon CofE Primary School,01274598540,Mary,Connor,Voluntary aided school,LA maintained schools,,Primary,Mixed,459,2,,Outstanding,Shipley,BD17 6TE,Yorkshire and the Humber,Primary,Non-London,4,3,All
